"smurff","dead"
458.996630915441,516.102372584632
683.879740986507,903.760662199929
650.714402450249,674.275487459265
46.0789903288986,78.7316891062073
65.9199187625637,70.3074268796481
340.278783063404,540.969978518784
82.0495625464246,120.809300053865
267.049994570203,298.80193619756
45.2030512005337,70.6127870972268
95.8628247353082,98.8291429029778
511.689534778421,511.85286026774
493.886873169569,533.411284649977
656.88904967811,683.843425255734
629.32178732194,660.121547395829
484.395341978874,670.081480485387
496.489902991082,508.176858260529
362.418819501996,455.682797818677
565.683062980724,567.402325239498
237.273292307742,477.370540795149
464.4393882351,507.714379879879
626.832558199763,651.892869090661
359.41086916001,363.212717344053
249.6464450351,264.82925012405
215.381324405083,225.865821220446
340.384576063603,371.979954391718
261.962787160351,262.947240997339
332.35431964742,367.245562581345
464.015955720811,465.749126652954
277.675105800852,293.962993090507
82.9402474270492,93.2848258921877
768.558810429648,952.824024990201
363.401108182967,388.15665802639
679.392680822344,680.844050301006
79.2799949715845,369.235266095027
366.543729005381,410.473154775798
6.86149972840212,32.5419989922084
50.3056101083252,66.4935719729401
84.3076780629554,93.1764281112701
755.951052695513,914.640695952345
491.498513855315,493.235506291734
105.006037222469,113.060319035314
84.2874032151885,138.024953071028
303.433079983573,342.877646875568
35.2039933046326,397.569691063371
13.3672750107944,45.1300435313024
306.670223972038,310.177760114893
292.414302854333,509.507075747009
700.018770806026,804.949059960898
686.377676548257,697.89429527754
399.101531329419,400.58590517682
639.43046377224,640.292420729995
242.631291128016,248.732097623171
586.900479724398,706.012946870178
559.820071964568,560.40514143277
512.054130845703,581.689395563211
633.977464173367,646.422316491604
738.851795809343,821.564495836385
839.191393264817,841.15101721324
557.198424643371,696.389719186816
482.921072134512,490.024177722167
698.971581328195,773.71522942232
11.8512962339446,431.188763090642
556.26116179442,584.104688480496
8.79682917147875,42.3133774483576
540.869201070252,541.61329953419
276.361541593693,277.782183418749
498.257476877188,557.328304815572
172.841090166476,176.220436872914
583.407523680896,587.585289855255
48.6856086610388,52.2499775844626
573.749750611372,862.11834572698
50.6505762603992,59.1870815251023
442.435143125081,459.566400574055
586.240412838853,600.184084549313
289.637036694487,290.77924729744
753.069704826921,913.05445719976
74.8617323711514,89.4858859870583
175.244919768353,180.608982990496
356.6623164567,358.987742884085
