"","x"
"608",3.20731556558914e-08
"609",3.24871289344371e-08
"610",3.41759302498e-08
"611",3.40021484312715e-08
"612",3.4065985011764e-08
"613",3.44476706491634e-08
"614",3.39534977838292e-08
"615",3.41431019570216e-08
"616",3.57704704143723e-08
"617",3.63577831144235e-08
"618",3.64504653319871e-08
"619",3.60232826646629e-08
"620",3.58216228587466e-08
"621",3.7325636105879e-08
"622",3.69171900341268e-08
"623",3.81733349150359e-08
"624",3.71137160411962e-08
"625",3.84327854226599e-08
"626",3.89289774553073e-08
"627",3.91047860624163e-08
"628",3.94210464822399e-08
"629",3.97641430135104e-08
"630",3.9571391216133e-08
"631",4.00404666661748e-08
"632",4.23815755732164e-08
"633",4.20837794502157e-08
"634",4.26878510008847e-08
"635",4.24960588489101e-08
"636",4.30641928586983e-08
"637",4.18493825755185e-08
"638",4.2852161576867e-08
"639",4.43093549074957e-08
"640",4.45838396546555e-08
"641",4.59046964664939e-08
"642",4.61288723235973e-08
"643",4.47194623148891e-08
"644",4.76702277455469e-08
"645",4.49745190302044e-08
"646",4.64888101006994e-08
"647",4.52282576174736e-08
"648",4.5569159264751e-08
"649",4.65092924257511e-08
"650",4.8606811167981e-08
"651",4.96034543469768e-08
"652",4.92183565109709e-08
"653",4.99103801252368e-08
"654",4.94415360631513e-08
"655",5.02250911796493e-08
"656",5.21319070579639e-08
"657",5.38695273274111e-08
"658",5.31209406708876e-08
"659",5.23926645462431e-08
"660",5.4580266976703e-08
"661",5.5280185696105e-08
"662",5.38347610671574e-08
"663",5.68313529169527e-08
"664",5.43672875651477e-08
"665",5.61363794758584e-08
"666",5.84114991048196e-08
"667",5.66316521500823e-08
"668",6.11223680455988e-08
"669",5.86273969871992e-08
"670",6.00212386615145e-08
"671",5.9507557722218e-08
"672",5.99759105174382e-08
"673",6.1791867374141e-08
"674",6.20501118752278e-08
"675",6.29795503097615e-08
"676",6.53276827407513e-08
"677",6.37853373747808e-08
"678",6.55833805046954e-08
"679",6.47756219142163e-08
"680",6.70021143834884e-08
"681",6.58068565025551e-08
"682",7.17101111795457e-08
"683",6.81634715360142e-08
"684",7.08801481200553e-08
"685",6.76302206438614e-08
"686",7.41674196783099e-08
"687",6.95185777478231e-08
"688",7.16896319888015e-08
"689",7.32819149842642e-08
"690",7.53212337244188e-08
"691",7.24869132438244e-08
"692",7.77007325501684e-08
"693",7.51803327244871e-08
"694",7.33797172372638e-08
"695",8.10007572683767e-08
