m	v	0	21	24	27	45	47	69	79	93	103	120	127	141	144	145	169	172	175	189	193	197	216	217	220	242	262	266	267	288	289	291	305	315	330	335	340	356	364	368	380	388	389	407	413	431	436	438	451	461	462	476	482	486	498	509	511	523	534	535	547	556	560	577	582	601	604	609	619	628	633	648	652	672	675	681	693	704	718	724	729	742	748	772	753	778	762	790	798	802	814	817	826	835	844	851	857	863	880	899	907	932	937	955	960	971	979	992	1013	1019
8	30					sl																																s?			sl																				sd																																																	
9	1																																								sl								s																							sl							s															sd																
9	2																			sl																		s?						s					sd																																																													
9	3		sl							sd																																																																																																				
9	4	sl																												sd																																																																																
9	5																						sl							sd																																																																																
9	6	s	s?					sl												sd																																																																																										
9	7																																																						s?									sd																																														
9	8																						sl							sl																s																							s										sd																															
9	9		s?							sl																				sl																s			s?						s														s																												sd													
9	10	s				sd																																																																																																								
9	11																																					sl														s						sd																																																				
9	12																																																																										sl																																	s	sd	
9	13	sd																																																																																																												
9	14							sl						sd																																																																																																
9	15	sl						sd																																																																																																						
9	16	sl				sd																																																																																																								
9	17	s?	s																											s																												sd																																																				
9	18	sl								sd																																																																																																				
9	19													sd																																																																																																
9	20																																					s?			s																												s			sd																																						
9	21																																					s?			sl					ns						sl																																							s											sd								
9	22	ns perdue																																																																																																												
9	23									sl				sd																																																																																																
9	24					s?		s		sd																																																																																																				
9	25																																																						s?																						sl										s	sd																						
9	26																			sl										s?											s								ns																				s													sd																												
9	27																																					s?			sl					sd																																																														s	sd	
9	28																										sd																																																																																			
9	29					sd																																																																																																								
9	30																																								s?			s					sl																				s			sd																																						
10	1	sl																												sd																																																																																
10	2									s?		sl																		sl																s																							s					sd																																				
10	3							sd																																																																																																						
10	4							perdue																																																																																																						
10	5					sd																																																																																																								
10	6																																		s?									s					sl																				s?													s																	sd											
10	7					s		sd																																																																																																						
10	8																	sd																																																																																												
10	9	s	sd																																																																																																											
10	10	sl				sd																																																																																																								
10	11																										s											s?			sl					s			sd																																																													
10	12																						sl							sd																																																																																
10	13					sl				sd																																																																																																				
10	14																																													sl			ns						sl																	s		sd																																				
10	15																																sl								s								sd																																																													
10	16																	sl												sd																																																																																
10	17	s	sd																																																																																																											
10	18							sl																														sl																															sl					ns								sd																												
10	19	s																																							s?			s																									s																									sd																
10	20																																																s?									ns			sl					ns						s																									sd													
10	21																						sl							s?					s																										sd																																																	
10	22	s	sd																																																																																																											
10	23																	sl					sd																																																																																							
10	24																						sd																																																																																							
10	25													sl																											sl																	s											s					sd																																				
10	26																																sl																			s																	s					sd																																				
10	27																																		sl						s			sd																																																																		
10	28																						s							sl																												s											s																						sd																			
10	29																						sl							sl																																							s																		sd																							
10	30	ns perdue																																																																																																												
11	1																										sl			sl					s			sd																																																																								
11	2																						sl							s?											sl								s																				s			sd																																						
11	3							sl				sd																																																																																																		
11	4																																																														sd																																															
11	5																																																																											s					ns									s										sd										
11	6	s?		s								sd																																																																																																		
11	7																																						s?				ns																									s			sd																																							
11	8																																						s?																		s																																																	sd				
11	9																																																																																				s															sd										
11	10																											s				ns		s																							ns						s																																					sd										
11	11																																												s?									s																						sd																																		
11	12																							sd																																																																																						
11	13																											s?				ns							s															sd																																																								
11	14																s				sd																																																																																									
11	15																							sd																																																																																						
11	16																				s							sd																																																																																		
11	17											s					ns																																																											sd																																		
11	18																							s?										ns														sd																																																														
11	19	s										s?					ns							s																																							sd																																															
11	20																																															s			ns																																			s														sd										
11	21																																	sd																																																																												
11	22															s	sd																																																																																													
11	23																									s?													s				s?																									s								sd																																		
11	24											s																						sd																																																																												
11	25																				s							sd																																																																																		
11	26																																																		s			sd																																																								
11	27																									s?																									s																	sd																																										
11	28																							s?		s																																																							sd																													
11	29																																	s					sd																																																																							
11	30																							sd																																																																																						
12	1											s														sd																																																																																				
12	2																																															s						sd																																																								
12	3																																										s?		sd																																																																	
12	4																				s?													s																				sd																																																								
12	5																																																																											s					sd																													
12	6																sd																																																																																													
12	7																							s?		s																	ns		s																																																													sd				
12	8																							s?		s																						sd																																																														
12	9																																				s?		sd																																																																							
12	10																																						s				s?											sd																																																								
12	11	sd																																																																																																												
12	12																							s				sd																																																																																		
12	13																																																																																																									s				sd
12	14	s																																sd																																																																												
12	15											sd																																																																																																		
12	16																s?				sd																																																																																									
12	17															sd																																																																																														
12	18			s								sd																																																																																																		
12	19																																												s?									s																											sd																													
12	20											sd																																																																																																		
12	21																				s?											ns																																							sd																																							
12	22											sd																																																																																																		
12	23	sd																																																																																																												
12	24	s										sd																																																																																																		
12	25											sd																																																																																																		
12	26	s										sd																																																																																																		
12	27																									s?						ns																																												s									sd																									
12	28											s					sd																																																																																													
12	29																																	s					sd																																																																							
12	30																																																																																					s							sd																	
13	1																				s			sd																																																																																						
13	2																							sd																																																																																						
13	3											s									sd																																																																																									
13	4																							s																																																									sd																													
13	5																							s?													s																										sd																																															
13	6																																															s			sd																																																											
13	7																									s?		s																	sd																																																																	
13	8	s														ns																																															s					sd																																										
13	9											sd																																																																																																		
13	10																																																					s			sd																																																					
13	11																							sd																																																																																						
13	12																				s?			s								sd																																																																														
13	13																											s																										sd																																																								
13	14																																																								sd																																																					
13	15																							sd																																																																																						
13	16																							s															s?															sd																																																								
13	17																																																																											sd																																		
13	18											sd																																																																																																		
13	19											sd																																																																																																		
13	20																							s																			ns														sd																																																					
13	21																																						s?				ns																	s			sd																																															
13	22																				s?					ns																																																																										sd										
13	23																																																																											s					ns															s				sd										
13	24																s?				s																		sd																																																																							
13	25																																																								sd																																																					
13	26																							s?													s		sd																																																																							
13	27																							sd																																																																																						
13	28																							s															s?				ns		s																															sd																																		
13	29																																				s		sd																																																																							
13	30																																																																											s					ns									s			sd																	
14	1	s																																			sd																																																																									
14	2																																				s								sd																																																																	
14	3																																																					s			sd																																																					
14	4																																																																											s																														sd				
14	5																				s					s?						ns					s		sd																																																																							
14	6																				s?			s																																	sd																																																					
14	7											s																						sd																																																																												
14	8											s												sd																																																																																						
14	9			s?																	sd																																																																																									
14	10																																																																																				s								sd																	
14	11																																				sd																																																																									
14	12	sd																																																																																																												
14	13																							s?								ns											s?																									s																	sd																									
14	14											sd																																																																																																		
14	15			s																												ns																																				s			sd																																							
14	16																																																																						sd																																							
14	17																				s													s?														ns																				sd																																										
14	18	sd																																																																																																												
14	19																																																																						sd																																							
14	20											s					s?							s																																												sd																																										
14	21	s?										s																									sd																																																																									
14	22																				s																																															sd																																										
14	23	s																						s?		s						ns																																							s					sd																																		
14	24																				s							sd																																																																																		
14	25											sd																																																																																																		
14	26																							s															sd																																																																							
14	27																									s?						ns																																																	s				sd																									
14	28																																																								s											sd																																										
14	29	s																														ns					s																															sd																																										
14	30																																																																																				s	sd																								
15	1																																						sd																																																																							
15	2																																																																											s?					s				sd																									
15	3																																																								s											sd																																										
15	4																																																																											sd																																		
15	5																																																														s													sd																																		
15	6																																																																											sd																																		
15	7																											s						sd																																																																												
15	8											s									sd																																																																																									
15	9																							s																																																				sd																																		
15	10			s													ns																																																																				sd																									
15	11	s		sd																																																																																																										
15	12											s				sd																																																																																														
15	13																																																											s?								s			sd																																							
15	14																																																								s						ns													s														sd																				
15	15																																																																																																			sd										
15	16																																																																																					s				sd																				
15	17			s?																				ns		s						ns																												sd																																																		
15	18																							s															s?				ns																												sd																																							
15	19			s																												ns							s																								sd																																															
15	20															s																					sd																																																																									
15	21																									s?						ns																																												s														sd																				
15	22																																																		s																				sd																																							
15	23																																												s			sd																																																														
15	24											s				sd																																																																																														
15	25																							s								sd																																																																														
15	26	s										sd																																																																																																		
15	27																									s								s?									s											sd																																																								
15	28																									s?																												ns						sd																																																		
15	29																																												s			sd																																																														
15	30																																																					s																																														sd										
16	1											s																																	sd																																																																	
16	2																																																																											s																	sd																	
16	3																																															s									sd																																																					
16	4																																																																																																									s				sd
16	5																							s?		s						ns													s																							sd																																										
16	6			s												ns								s?								s																									sd																																																					
16	7																							s																																																													sd																									
16	8																											s											sd																																																																							
16	9																																																					s																						sd																																		
16	10																																															sd																																																														
16	11											s																									sd																																																																									
16	12																															s											ns														s			ns																s									sd																									
16	13											sd																																																																																																		
16	14																															s																						sd																																																								
16	15																																																																											sd																																		
16	16			s?								s									sd																																																																																									
16	17															s																																sd																																																														
16	18																									s?						s																									sd																																																					
16	19																																																																											sd																																		
16	20																																																		s												sd																																															
16	21											s				ns																											s		sd																																																																	
16	22																																																																																																			s						sd				
16	23																																																																																					s										sd														
16	24															s																		sd																																																																												
16	25																							s?		s						sd																																																																														
16	26											s																																													sd																																																					
16	27											s					s?							s															sd																																																																							
16	28																									s?						ns											s					sd																																																														
16	29																sd																																																																																													
16	30																							s?								ns																						s			sd																																																					
17	1																							sd																																																																																						
17	2																sd																																																																																													
17	3																							s?								ns																																				sd																																										
17	4																																																																											s									sd																									
17	5																																																																																									s																sd				
17	6																																																		s						sd																																																					
17	7															s	sd																																																																																													
17	8																																																											s																sd																																		
17	9																				sd																																																																																									
17	10											s					sd																																																																																													
17	11			s?								ns														s?								s																	sd																																																											
17	12																																																																			s								sd																																		
17	13																									s						ns																									sd																																																					
17	14			s?								ns												s																																																									sd																													
17	15											sd																																																																																																		
17	16																				sd																																																																																									
17	17																																	s?									ns																									s								sd																																		
17	18																s				s?																						s											sd																																																								
17	19																																																																																				s	sd																								
17	20																s?				s																		sd																																																																							
17	21																																																																																												s			sd														
17	22																s																	s?			ns																	s														sd																																										
17	23																															s		sd																																																																												
17	24																							s?				s																																																sd																																		
17	25																																																																											s										sd																								
17	26																																																																																					s				sd																				
17	27																																																																																sd																													
17	28			s?								sd																																																																																																		
17	29																																																																																				s	sd																								
17	30																																																																																					s				sd																				
18	1											s?					sd																																																																																													
18	2																																																		s												ns					s																																						sd				
18	3																							s													ns																																												sd																													
18	4																				s?							s																																											sd																																							
18	5															sd																																																																																														
18	6																																	s?									ns																												s					sd																																		
18	7																							s				sd																																																																																		
18	8																									s?																																																		sd																																		
18	9															s	s?				s																														sd																																																											
18	10																									sd																																																																																				
18	11																							s																			 ns																																	sd																																		
18	12																																																																			s																	sd																									
18	13											s					ns							s																			ns											s			sd																																																					
18	14											s					ns																																																											sd																																		
18	15											s									sd																																																																																									
18	16											s?									s													sd																																																																												
18	17																																																																											s					ns				s					sd																				
18	18																																																																																s					sd																								
18	19																																																																																															sd														
18	20											sd																																																																																																		
18	21	s														ns								s																																												sd																																										
18	22											s																																	ns						s			sd																																																								
18	23																							s		s?											ns																	s						sd																																																		
18	24			s																						sd																																																																																				
18	25																							s?		s								sd																																																																												
18	26																				s																																																																															sd										
18	27																							s																			sd																																																																			
18	28																																										s		sd																																																																	
18	29			s																						s?																			ns																		s													sd																																		
18	30																																																																																									sd																				
19	1																															s																															sd																																															
19	2																							s																																												sd																																										
19	3											sd																																																																																																		
19	4																							s																																																				sd																																		
19	5																																																																																					sd																								
19	6																							s?																																															sd																																							
19	7																																																														s													sd																																		
19	8	sd																																																																																																												
19	9	s		sd																																																																																																										
19	10																																																								s														sd																																							
19	11																s				s?																																							sd																																																		
19	12																																																								s																			sd																																		
19	13																				s																											sd																																																														
19	14																																						s																		sd																																																					
19	15																s											sd																																																																																		
19	16																							s?		ns																																		s											sd																																							
19	17											s																									ns		s															sd																																																								
19	18																																																																											sd																																		
19	19																																										s?																												s					sd																																		
19	20																sd																																																																																													
19	21																s?				sd																																																																																									
19	22																							sd																																																																																						
19	23											sd																																																																																																		
19	24																							sd																																																																																						
19	25											sd																																																																																																		
19	26																s																	sd																																																																												
19	27																							s?										ns																																										s																				sd														
19	28																s?							s								ns																																																	s					sd																								
19	29	s		sd																																																																																																										
19	30											s																									sd																																																																									
20	1	s																														ns		s																	ns																																		s					sd																				
20	2																							s?		ns																																																		s									sd																									
20	3			s?																	s																								sd																																																																	
20	4	s																																																				sd																																																								
20	5											s																																													sd																																																					
20	6																s							sd																																																																																						
20	7																							s																											sd																																																											
20	8																s?																	s														sd																																																														
20	9																																																																											sd																																		
20	10																s?							s																														sd																																																								
20	11																							s																											sd																																																											
20	12			s								sd																																																																																																		
20	13																									sd																																																																																				
20	14																							s								ns																																																										sd																				
20	15																																	s?																													s													sd																																		
20	16																																																																						s															sd																								
20	17	s?		ns																																																		s			sd																																																					
20	18																																																																						s					sd																																		
20	19																																																																																																			sd										
20	20																																				s?						s		sd																																																																	
20	21	s																										sd																																																																																		
20	22																																	s									ns																																						s																									sd				
20	23											s																sd																																																																																		
20	24																							s?		s						sd																																																																														
20	25																											s?						s									ns								s																				sd																																							
20	26																							s																								sd																																																														
20	27																																																																											s					ns				s	sd																								
20	28																																				s		sd																																																																							
20	29																																												s															ns																s																														sd				
20	30											sd																																																																																																		
21	1																											s																	sd																																																																	
21	2																																																								sd																																																					
21	3	s																																																				sd																																																								
21	4																							s?										s																				ns									s																														sd																	
21	5																																	s																																																				sd																								
21	6											s																																				sd																																																														
21	7																																	s																							ns						s					sd																																										
21	8																							sd																																																																																						
21	9																									s?											s						sd																																																																			
21	10																																	s?			s																										sd																																															
21	11											sd																																																																																																		
21	12															s?	ns							sd																																																																																						
21	13																																																																											sd																																		
21	14																																				s?						s																																	sd																																		
21	15																																						s																																															sd																								
21	16											sd																																																																																																		
21	17															sd																																																																																														
21	18			sd																																																																																																										
21	19																				sd																																																																																									
21	20																							s				ns						s																				sd																																																								
21	21																																																		s																														sd																													
21	22															s																ns		s																																										sd																																		
21	23																				s?			s																																																									sd																													
21	24																																	s?			ns								s																							sd																																										
21	25											s?												s																														sd																																																								
21	26											sd																																																																																																		
21	27																s																																																																sd																													
21	28																																										s														ns											s																												sd														
21	29																							s?		s																																																																			sd																	
21	30											sd																																																																																																		
22	1																s				ns																						s																												sd																																							
22	2											s																																										ns						s								sd																																										
22	3																s?																				s																															sd																																										
22	4																																																											s								sd																																										
22	5																																															s?															sd																																															
22	6																				s?					s																																										sd																																										
22	7											s?									ns													s					sd																																																																							
22	8																															s																																																													sd																	
22	9																																																																			s													sd																													
22	10			s																	sd																																																																																									
22	11																																	s?					s																																															sd																								
22	12																				s			s?								s																																												sd																																		
22	13																																																					s									sd																																															
22	14																							s													sd																																																																									
22	15																																												s																																				sd																													
22	16																																												s						ns																																		s											sd														
22	17																																																																						s					sd																																		
22	18																s?				s																																															sd																																										
22	19											s				sd																																																																																														
22	20	s																						s?															s																																										sd																													
22	21																																																																											s														sd																				
22	22											s																																																																					sd																													
22	23																																										s														sd																																																					
22	24			s																								sd																																																																																		
22	25			s?								s																																																sd																																																		
22	26																				sd																																																																																									
22	27																s				sd																																																																																									
22	28	sd																																																																																																												
22	29																s?							s																																	sd																																																					
