"","x"
"173",1.52822601610196e-08
"174",1.52521281590394e-08
"175",1.5611702257101e-08
"176",1.45018887858178e-08
"177",1.599106302153e-08
"178",1.62893385679442e-08
"179",1.49750456791928e-08
"180",1.58013614268788e-08
"181",1.6945307228548e-08
"182",1.55645189479731e-08
"183",1.58735395916377e-08
"184",1.52973164380523e-08
"185",1.50089975275339e-08
"186",1.68812382712284e-08
"187",1.53647331015807e-08
"188",1.58157138252178e-08
"189",1.65034164972201e-08
"190",1.63059492837439e-08
"191",1.62050953520666e-08
"192",1.5927339643613e-08
"193",1.63390544888532e-08
"194",1.551135757496e-08
"195",1.67263468269336e-08
"196",1.58869091783532e-08
"197",1.68980157477541e-08
"198",1.58830850323951e-08
"199",1.69060133465555e-08
"200",1.63540398118149e-08
"201",1.56173971923735e-08
"202",1.74624552114085e-08
"203",1.61191269519845e-08
"204",1.59089782300548e-08
"205",1.6364690174186e-08
"206",1.79164931381581e-08
"207",1.62004857492545e-08
"208",1.68323432909532e-08
"209",1.62337293704551e-08
"210",1.70650119733192e-08
"211",1.61606461965372e-08
"212",1.62940042780664e-08
"213",1.61652843179969e-08
"214",1.64289817297646e-08
"215",1.6682945883676e-08
"216",1.63562935596144e-08
"217",1.6718651340371e-08
"218",1.62847971921558e-08
"219",1.78504113484077e-08
"220",1.59125761271994e-08
"221",1.7060911613784e-08
"222",1.66776455839763e-08
"223",1.55003883487354e-08
"224",1.57734510129754e-08
"225",1.5666941891859e-08
"226",1.67042584041778e-08
"227",1.59566368038228e-08
"228",1.66845412233997e-08
"229",1.63783110262428e-08
"230",1.59635657912716e-08
"231",1.58159181625603e-08
"232",1.65184438557806e-08
"233",1.58289524365092e-08
"234",1.56873108250951e-08
"235",1.67647187668078e-08
"236",1.65364322430713e-08
"237",1.58806245140034e-08
"238",1.55716968534811e-08
"239",1.60139822298985e-08
"240",1.52759639718575e-08
"241",1.58823013360102e-08
"242",1.50192965452133e-08
"243",1.58433785141594e-08
"244",1.55648828089552e-08
"245",1.5875613118143e-08
"246",1.56146733950506e-08
"247",1.59560333066681e-08
"248",1.60872505852462e-08
"249",1.49043643217601e-08
"250",1.55527220270639e-08
"251",1.56978396918877e-08
