"","x"
"243",2.2777147473153e-06
"244",2.34282725684562e-06
"245",2.20753019958902e-06
"246",2.24727230422887e-06
"247",2.44786418709222e-06
"248",2.47505421452755e-06
"249",2.60740456547403e-06
"250",2.57147603533567e-06
"251",2.78010179591899e-06
"252",2.50487742629516e-06
"253",2.68287007271988e-06
"254",2.83948379103638e-06
"255",2.80928245600212e-06
"256",3.11311726008496e-06
"257",3.05936810008601e-06
"258",3.28034323168059e-06
"259",3.34570555904023e-06
"260",3.62558792880853e-06
"261",3.56697397298376e-06
"262",3.79818328482064e-06
"263",4.0161792604372e-06
"264",4.06620811956738e-06
"265",4.05575372195369e-06
"266",4.34226167489474e-06
"267",4.07859224329281e-06
"268",4.28243860826654e-06
"269",4.58365848513524e-06
"270",4.71830397568833e-06
"271",5.39761144422665e-06
"272",5.40586135217843e-06
"273",5.1501216059858e-06
"274",5.38087912140049e-06
"275",5.42853305535887e-06
"276",6.09978512874508e-06
"277",6.61419848705145e-06
"278",6.29751492635036e-06
"279",6.22823251109859e-06
"280",6.8545597967093e-06
"281",7.4031477323652e-06
"282",7.23115660450173e-06
"283",7.63554849885873e-06
"284",7.35517096511177e-06
"285",8.33371045653163e-06
"286",1.02286409649139e-05
"287",1.04752693895271e-05
"288",1.21952400591256e-05
"289",9.53842840544977e-06
"290",9.05127458699821e-06
"291",9.3531809861729e-06
"292",1.02380493834813e-05
"293",9.24919385278397e-06
"294",9.83789384595064e-06
"295",1.01371892034425e-05
"296",9.73991826613188e-06
"297",1.02663664866842e-05
"298",1.00648783271822e-05
"299",1.0403987363537e-05
"300",1.09595560695395e-05
"301",1.38624313140508e-05
"302",1.49641907468953e-05
"303",1.21230026727844e-05
"304",1.25173468231534e-05
"305",1.22189445639196e-05
"306",1.20435563829163e-05
"307",1.19151860871787e-05
"308",1.20615032607093e-05
"309",1.25010497638256e-05
"310",1.2548344620268e-05
"311",1.3673072508746e-05
"312",1.29697034212183e-05
"313",1.36174165325591e-05
"314",1.36908128510579e-05
"315",1.5304044018522e-05
"316",1.40853274717243e-05
"317",1.43326272723728e-05
"318",1.47368304773009e-05
"319",1.54927653937837e-05
"320",1.6921118464453e-05
"321",1.45441466930444e-05
"322",1.63273796197608e-05
"323",1.44904382199918e-05
"324",1.61609243975654e-05
"325",1.68080375913686e-05
"326",1.77628847872099e-05
"327",1.80305854247077e-05
"328",1.71522127619919e-05
"329",1.60396652730792e-05
"330",1.94040348726032e-05
"331",1.90268363203145e-05
"332",1.87266041716936e-05
"333",1.8167738246937e-05
"334",1.92678651009473e-05
"335",1.93588648572777e-05
"336",2.05630993241564e-05
"337",1.98527948707272e-05
"338",2.1103384707084e-05
"339",2.1676198478199e-05
"340",2.33732170225415e-05
"341",2.39881715518487e-05
"342",2.50406504953612e-05
"343",2.45941912800798e-05
"344",2.70268372220967e-05
"345",2.89169961659909e-05
"346",2.747881169705e-05
"347",3.25955712684789e-05
"348",3.17056442133259e-05
"349",3.06211575049465e-05
"350",3.37718399077582e-05
"351",3.48928577293478e-05
"352",3.31827125315633e-05
"353",3.50260558882591e-05
"354",4.07418359386443e-05
"355",4.31900866051635e-05
"356",5.11846844230475e-05
"357",6.55579729702434e-05
"358",7.52931991910376e-05
"359",8.5358253354991e-05
"360",6.13926546478336e-05
"361",6.62697517030712e-05
"362",7.09160992210392e-05
"363",9.78121561281131e-05
"364",0.000133587386937862
"365",0.000145863852304131
"366",0.000194232946341175
"367",0.000319775556597523
"368",0.000483539180232608
"369",0.000582926395025802
